District Name,Market Name,Variety,Price Date,Price Date,Modal Price (Rs./Quintal)
Wardha,Arvi,H-4(A) 27mm FIne,Feb,2018,4700
Wardha,Arvi,H-4(A) 27mm FIne,Feb,2017,5730
Wardha,Arvi,H-4(A) 27mm FIne,Dec,2017,4800
Wardha,Arvi,H-4(A) 27mm FIne,Apr,2017,5300
Wardha,Arvi,H-4(A) 27mm FIne,Oct,2017,4100
Wardha,Arvi,H-4(A) 27mm FIne,Nov,2017,4580
Wardha,Arvi,H-4(A) 27mm FIne,May,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Mar,2017,5620
Wardha,Arvi,H-4(A) 27mm FIne,Jun,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2018,4750
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2017,5730
Wardha,Arvi,H-4(A) 27mm FIne,Feb,2018,4720
Wardha,Arvi,H-4(A) 27mm FIne,Feb,2017,5775
Wardha,Arvi,H-4(A) 27mm FIne,Dec,2017,4800
Wardha,Arvi,H-4(A) 27mm FIne,Apr,2017,5350
Wardha,Arvi,H-4(A) 27mm FIne,Oct,2017,4150
Wardha,Arvi,H-4(A) 27mm FIne,Nov,2017,4600
Wardha,Arvi,H-4(A) 27mm FIne,May,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Mar,2017,5670
Wardha,Arvi,H-4(A) 27mm FIne,Jun,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2018,4800
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2017,5730
Wardha,Arvi,H-4(A) 27mm FIne,Feb,2018,4700
Wardha,Arvi,H-4(A) 27mm FIne,Feb,2017,5750
Wardha,Arvi,H-4(A) 27mm FIne,Dec,2017,4800
Wardha,Arvi,H-4(A) 27mm FIne,Apr,2017,5300
Wardha,Arvi,H-4(A) 27mm FIne,Oct,2017,3950
Wardha,Arvi,H-4(A) 27mm FIne,Nov,2017,4550
Wardha,Arvi,H-4(A) 27mm FIne,May,2017,5200
